epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,3868.91,0.66233,0.36134,1.03786,0.93646,0.92706,0.95522,0.6779,1.07146,0.46452,1.62694,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3927.34,0.66386,0.36116,1.03807,0.92448,0.93398,0.95869,0.69043,1.06877,0.46995,1.608,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3986.24,0.65873,0.35597,1.03343,0.94061,0.92312,0.95954,0.69645,1.07302,0.46147,1.62081,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4044.93,0.65179,0.3519,1.03383,0.93694,0.93011,0.95845,0.69852,1.06052,0.46308,1.62062,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4103.94,0.64977,0.35429,1.032,0.92195,0.93561,0.95905,0.69844,1.07457,0.45092,1.6223,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4162.71,0.64072,0.34665,1.02795,0.93311,0.93826,0.96282,0.70216,1.0673,0.45434,1.61241,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4221.27,0.62341,0.33559,1.01646,0.93315,0.9272,0.95951,0.70456,1.06694,0.45884,1.62907,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4280.02,0.63668,0.34495,1.02438,0.93448,0.93244,0.95659,0.69259,1.06645,0.45761,1.62666,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4338.88,0.62606,0.33758,1.01592,0.93916,0.92895,0.95945,0.70245,1.06226,0.46073,1.63791,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4397.94,0.61721,0.33343,1.01073,0.93711,0.93244,0.95841,0.69725,1.0637,0.45608,1.66338,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4456.79,0.60648,0.3272,1.00738,0.92714,0.93361,0.95826,0.70302,1.06254,0.46085,1.65073,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4515.62,0.60005,0.32332,1.00534,0.93404,0.93188,0.95917,0.7063,1.06051,0.45429,1.64154,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4574.3,0.59994,0.32652,0.99956,0.93532,0.92953,0.95533,0.69146,1.05666,0.45076,1.62752,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
